2009-04-07	21.340,00
2009-04-06	20.900,00
2009-04-05	kein Nachweis
2009-04-04	kein Nachweis
2009-04-03	21.650,00
2009-04-02	22.020,00
2009-04-01	22.395,00
2009-03-31	22.190,00
2009-03-30	22.280,00
2009-03-29	kein Nachweis
2009-03-28	kein Nachweis
2009-03-27	22.315,00
2009-03-26	22.220,00
2009-03-25	21.920,00
2009-03-24	22.090,00
2009-03-23	22.465,00
2009-03-22	kein Nachweis
2009-03-21	kein Nachweis
2009-03-20	22.640,00
2009-03-19	22.290,00
2009-03-18	22.490,00
2009-03-17	22.740,00
2009-03-16	22.810,00
2009-03-15	kein Nachweis
2009-03-14	kein Nachweis
2009-03-13	23.160,00
2009-03-12	23.010,00
2009-03-11	22.730,00
2009-03-10	22.990,00
2009-03-09	23.970,00
2009-03-08	kein Nachweis
2009-03-07	kein Nachweis
2009-03-06	23.810,00
2009-03-05	23.490,00
2009-03-04	23.420,00
2009-03-03	23.580,00
2009-03-02	24.250,00
2009-03-01	kein Nachweis
2009-02-28	kein Nachweis
2009-02-27	24.125,00
2009-02-26	23.830,00
2009-02-25	24.150,00
2009-02-24	24.870,00
2009-02-23	24.830,00
2009-02-22	kein Nachweis
2009-02-21	kein Nachweis
2009-02-20	25.225,00
2009-02-19	24.790,00
2009-02-18	24.650,00
2009-02-17	24.490,00
2009-02-16	23.730,00
2009-02-15	kein Nachweis
2009-02-14	kein Nachweis
2009-02-13	23.500,00
2009-02-12	23.560,00
2009-02-11	22.975,00
2009-02-10	22.230,00
2009-02-09	22.400,00
2009-02-08	kein Nachweis
2009-02-07	kein Nachweis
2009-02-06	23.000,00
2009-02-05	22.915,00
2009-02-04	22.470,00
2009-02-03	22.620,00
2009-02-02	23.035,00
2009-02-01	kein Nachweis
2009-01-31	kein Nachweis
2009-01-30	23.100,00
2009-01-29	21.550,00
2009-01-28	21.545,00
2009-01-27	21.885,00
2009-01-26	22.510,00
2009-01-25	kein Nachweis
2009-01-24	kein Nachweis
2009-01-23	21.975,00
2009-01-22	21.065,00
2009-01-21	21.370,00
2009-01-20	21.150,00
2009-01-19	20.395,00
2009-01-18	kein Nachweis
2009-01-17	kein Nachweis
2009-01-16	20.070,00
2009-01-15	19.865,00
2009-01-14	20.100,00
2009-01-13	19.830,00
2009-01-12	20.260,00
2009-01-11	kein Nachweis
2009-01-10	kein Nachweis
2009-01-09	20.135,00
2009-01-08	19.935,00
2009-01-07	20.420,00
2009-01-06	20.260,00
2009-01-05	20.285,00
2009-01-04	kein Nachweis
2009-01-03	kein Nachweis
2009-01-02	20.065,00
2009-01-01	kein Nachweis
